datetime_utc,mgs_x_km,mgs_y_km,mgs_z_km,mgs_vx_km_s,mgs_vy_km_s,mgs_vz_km_s,mars_sun_x_km,mars_sun_y_km,mars_sun_z_km
1997-09-19T04:01:30.000,32398.733145922677,14092.852505764358,-25063.45340028817,-0.2268915470526769,-0.360626278237132,0.6245347776772685,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T04:01:40.000,32396.46337679215,14089.245871684054,-25057.20739216227,-0.2270622898392064,-0.36070054021462306,0.6246668519031208,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T04:01:50.000,32394.19189991007,14085.638494912233,-25050.960063162085,-0.22723309737196276,-0.36077481654203764,0.6247989525361458,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T04:02:00.000,32391.918714628726,14082.03037530535,-25044.711413023466,-0.2274039697000424,-0.36084910722831376,0.6249310795930368,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T04:02:10.000,32389.64382029992,14078.421512719773,-25038.46144148209,-0.22757490687259355,-0.3609234122823961,0.6250632330904996,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T04:02:20.000,32387.36721627496,14074.81190701178,-25032.210148273465,-0.2277459089388162,-0.36099773171323574,0.6251954130452526,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T04:02:30.000,32385.088901904666,14071.201558037556,-25025.957533132936,-0.22791697594796245,-0.36107206552979026,0.625327619474027,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T04:02:40.000,32382.808876539362,14067.5904656532,-25019.70359579568,-0.22808810794933618,-0.361146413741024,0.6254598523935666,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T04:02:50.000,32380.527139528876,14063.978629714722,-25013.448335996705,-0.22825930499229352,-0.36122077635590777,0.6255921118206278,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T04:03:00.000,32378.243690222545,14060.366050078039,-25007.191753470852,-0.22843056712624282,-0.3612951533834188,0.62572439777198,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T04:03:10.000,32375.958527969215,14056.752726598981,-25000.933847952794,-0.22860189440064446,-0.3613695448325411,0.625856710264405,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T04:03:20.000,32373.67165211723,14053.138659133287,-24994.674619177036,-0.2287732868650111,-0.36144395071226526,0.6259890493146976,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T04:03:30.000,32371.383062014447,14049.523847536604,-24988.41406687792,-0.22894474456890807,-0.36151837103158824,0.6261214149396651,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T04:03:40.000,32369.09275700822,14045.908291664493,-24982.152190789606,-0.22911626756195277,-0.3615928057995138,0.6262538071561278,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T04:03:50.000,32366.80073644541,14042.291991372422,-24975.8889906461,-0.2292878558938153,-0.36166725502505215,0.6263862259809186,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T04:04:00.000,32364.50699967238,14038.67494651577,-24969.624466181238,-0.2294595096142183,-0.3617417187172202,0.6265186714308834,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T04:04:10.000,32362.211546034996,14035.057156949826,-24963.358617128677,-0.22963122877293715,-0.3618161968850416,0.6266511435228805,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T04:04:20.000,32359.914374878626,14031.438622529788,-24957.091443221918,-0.22980301341979983,-0.3618906895375462,0.6267836422737816,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T04:04:30.000,32357.61548554814,14027.819343110763,-24950.822944194282,-0.2299748636046873,-0.36196519668377086,0.6269161677004708,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T04:04:40.000,32355.314877387907,14024.19931854777,-24944.55311977893,-0.23014677937753306,-0.36203971833275894,0.627048719819845,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T04:04:50.000,32353.012549741798,14020.578548695736,-24938.281969708853,-0.23031876078832378,-0.36211425449356044,0.6271812986488142,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T04:05:00.000,32350.70850195318,14016.957033409497,-24932.009493716865,-0.23049080788709925,-0.36218880517523194,0.6273139042043012,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T04:05:10.000,32348.40273336493,14013.334772543798,-24925.73569153562,-0.23066292072395211,-0.36226337038683676,0.6274465365032416,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T04:05:20.000,32346.095243319407,14009.711765953296,-24919.4605628976,-0.2308350993490283,-0.36233795013744485,0.6275791955625838,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T04:05:30.000,32343.786031158485,14006.088013492556,-24913.18410753511,-0.23100734381252697,-0.36241254443613274,0.6277118813992894,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T04:05:40.000,32341.475096223527,14002.46351501605,-24906.906325180298,-0.23117965416470068,-0.3624871532919838,0.6278445940303327,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T04:05:50.000,32339.162437855393,13998.838270378163,-24900.62721556513,-0.23135203045585515,-0.36256177671408785,0.627977333472701,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T04:06:00.000,32336.848055394443,13995.212279433184,-24894.346778421415,-0.23152447273634974,-0.3626364147115415,0.6281100997433946,5304314.930021906,198268347.24823567,90795578.2069394
1997-09-19T04:06:10.000,32334.53194818053,13991.585542035316,-24888.06501348078,-0.23169698105659717,-0.36271106729344826,0.6282428928594266,5304314.930021906,198268347.24823567,90795578.2069394
