datetime_utc,et_seconds,station_id,station_name,mgs_x_km,mgs_y_km,mgs_z_km,mgs_vx_km_s,mgs_vy_km_s,mgs_vz_km_s,mars_sun_x_km,mars_sun_y_km,mars_sun_z_km,stat_earth_x_km,stat_earth_y_km,stat_earth_z_km,earth_sun_x_km,earth_sun_y_km,earth_sun_z_km
1997-09-19 04:01:30,-72086246.81759503,45,DSS-45,32398.733145922673,14092.852505764358,-25063.45340028817,-0.22689154705267692,-0.360626278237132,0.6245347776772685,-5304314.930021906,-198268347.24823567,-90795578.2069394,-4617.032427077576,-2402.4207503540842,-3675.546211434448,149956665.73842043,-8908175.427221706,-3861758.559261129
1997-09-19 04:01:30,-72086246.81759503,45,DSS-45,32398.733145922673,14092.852505764358,-25063.45340028817,-0.22689154705267692,-0.360626278237132,0.6245347776772685,-5304314.930021906,-198268347.24823567,-90795578.2069394,-4617.032427077576,-2402.4207503540842,-3675.546211434448,149956665.73842043,-8908175.427221706,-3861758.559261129
1997-09-19 04:02:30,-72086186.81759505,45,DSS-45,32385.088901666983,14071.201557687325,-25025.957532508986,-0.2279169839920826,-0.36107207738383795,0.6253276405917851,-5302806.5637142435,-198268251.05591238,-90795574.87422535,-4606.476360027229,-2422.6021234483605,-3675.5446321302707,149956752.4536503,-8906545.790614307,-3861051.948861668
1997-09-19 04:02:30,-72086186.81759505,45,DSS-45,32385.088901666983,14071.201557687325,-25025.957532508986,-0.2279169839920826,-0.36107207738383795,0.6253276405917851,-5302806.5637142435,-198268251.05591238,-90795574.87422535,-4606.476360027229,-2422.6021234483605,-3675.5446321302707,149956752.4536503,-8906545.790614307,-3861051.948861668
1997-09-19 04:04:30,-72086066.81759506,45,DSS-45,32357.61548337622,14027.819339920565,-24950.822938503814,-0.22997488788853365,-0.3619652322541684,0.6269162312163966,-5299789.830365392,-198268058.6438859,-90795568.19625883,-4585.099836840246,-2462.825348243197,-3675.5414073393563,149956925.82111785,-8903286.513445318,-3859638.726374699
1997-09-19 04:04:30,-72086066.81759506,45,DSS-45,32357.61548337622,14027.819339920565,-24950.822938503814,-0.22997488788853365,-0.3619652322541684,0.6269162312163966,-5299789.830365392,-198268058.6438859,-90795568.19625883,-4585.099836840246,-2462.825348243197,-3675.5414073393563,149956925.82111785,-8903286.513445318,-3859638.726374699
1997-09-19 04:05:30,-72086006.81759506,45,DSS-45,32343.786027283903,14006.088007812272,-24913.18409739554,-0.2310073762925894,-0.36241259186906005,0.6277119661957716,-5298281.463324342,-198267962.4241827,-90795564.85100634,-4574.2797899132465,-2482.8664299526176,-3675.539761914354,149957012.4733555,-8901656.87288415,-3858932.114287375
1997-09-19 04:05:30,-72086006.81759506,45,DSS-45,32343.786027283903,14006.088007812272,-24913.18409739554,-0.2310073762925894,-0.36241259186906005,0.6277119661957716,-5298281.463324342,-198267962.4241827,-90795564.85100634,-4574.2797899132465,-2482.8664299526176,-3675.539761914354,149957012.4733555,-8901656.87288415,-3858932.114287375
1997-09-19 04:06:30,-72085946.81759506,45,DSS-45,32329.894550780173,13984.329818415052,-24875.497483267292,-0.2320422367457781,-0.36286047554554784,0.628508665827011,-5296773.096039096,-198267866.19535285,-90795561.50157437,-4563.372161708067,-2502.859979373668,-3675.538094511515,149957099.10459566,-8900027.231005618,-3858225.501637675
1997-09-19 04:06:30,-72085946.81759506,45,DSS-45,32329.894550780173,13984.329818415052,-24875.497483267292,-0.2320422367457781,-0.36286047554554784,0.628508665827011,-5296773.096039096,-198267866.19535285,-90795561.50157437,-4563.372161708067,-2502.859979373668,-3675.538094511515,149957099.10459566,-8900027.231005618,-3858225.501637675
1997-09-19 04:07:30,-72085886.81759508,45,DSS-45,32315.94091121904,13962.54474023165,-24837.763038139125,-0.23307948014318292,-0.363308885250684,0.6293063337862531,-5295264.7285100855,-198267769.9573964,-90795558.1479629,-4552.377161031622,-2522.8056137659046,-3675.536405162757,149957185.71483827,-8898397.587810336,-3857518.888425866
1997-09-19 04:07:30,-72085886.81759508,45,DSS-45,32315.94091121904,13962.54474023165,-24837.763038139125,-0.23307948014318292,-0.363308885250684,0.6293063337862531,-5295264.7285100855,-198267769.9573964,-90795558.1479629,-4552.377161031622,-2522.8056137659046,-3675.536405162757,149957185.71483827,-8898397.587810336,-3857518.888425866
1997-09-19 04:08:30,-72085826.81759508,45,DSS-45,32301.924965288305,13940.73274163029,-24799.98070378189,-0.23411911745042194,-0.36375782296055637,0.6301049737670911,-5293756.360736644,-198267673.71031317,-90795554.79017192,-4541.294998355172,-2542.702951320995,-3675.534693900421,149957272.30408332,-8896767.943297701,-3856812.274651691
1997-09-19 04:08:30,-72085826.81759508,45,DSS-45,32301.924965288305,13940.73274163029,-24799.98070378189,-0.23411911745042194,-0.36375782296055637,0.6301049737670911,-5293756.360736644,-198267673.71031317,-90795554.79017192,-4541.294998355172,-2542.702951320995,-3675.534693900421,149957272.30408332,-8896767.943297701,-3856812.274651691
