datetime_utc,time_tag_seconds,doppler_hz,data_type_id,receiving_station_id,transmitting_station_id,ref_freq_mhz,source_file,lbl_file,ramp_rate_hz_s,ramp_start_freq_hz,interpolated_tx_freq_hz,ramp_time_offset_sec,session_id
1997-09-19 15:02:30,1505833350.0,-7497.219105278375,12,65,65,70205.932,7262262a.odf,7262262a.lbl,0.304672,7164830007.907788,7164830007.907788,961.0,0
1997-09-19 15:03:30,1505833410.0,-7498.099348834716,12,65,65,70205.932,7262262a.odf,7262262a.lbl,0.304672,7164830007.907788,7164830007.907788,1021.0,0
1997-09-19 15:04:30,1505833470.0,-7495.114234475652,12,65,65,70205.932,7262262a.odf,7262262a.lbl,0.304672,7164830007.907788,7164830007.907788,1081.0,0
1997-09-19 15:05:30,1505833530.0,-7489.060217763996,12,65,65,70205.932,7262262a.odf,7262262a.lbl,0.304672,7164830007.907788,7164830007.907788,1141.0,0
1997-09-19 15:06:30,1505833590.0,-7479.196035641478,12,65,65,70205.932,7262262a.odf,7262262a.lbl,0.304672,7164830007.907788,7164830007.907788,1201.0,0
1997-09-19 15:07:30,1505833650.0,-7467.081354907947,12,65,65,70205.932,7262262a.odf,7262262a.lbl,0.304672,7164830007.907788,7164830007.907788,1261.0,0
1997-09-19 15:08:30,1505833710.0,-7451.206559586106,12,65,65,70205.932,7262262a.odf,7262262a.lbl,0.304672,7164830007.907788,7164830007.907788,1321.0,0
1997-09-19 15:09:30,1505833770.0,-7433.129578013206,12,65,65,70205.932,7262262a.odf,7262262a.lbl,0.304672,7164830007.907788,7164830007.907788,1381.0,0
1997-09-19 15:10:30,1505833830.0,-7412.105371389305,12,65,65,70205.932,7262262a.odf,7262262a.lbl,0.304672,7164830007.907788,7164830007.907788,1441.0,0
1997-09-19 15:11:30,1505833890.0,-7388.155499825953,12,65,65,70205.932,7262262a.odf,7262262a.lbl,0.304672,7164830007.907788,7164830007.907788,1501.0,0
1997-09-19 15:12:30,1505833950.0,-7362.067765358137,12,65,65,70205.932,7262262a.odf,7262262a.lbl,0.304672,7164830007.907788,7164830007.907788,1561.0,0
1997-09-19 15:13:30,1505834010.0,-7333.094129548641,12,65,65,70205.932,7262262a.odf,7262262a.lbl,0.304672,7164830007.907788,7164830007.907788,1621.0,0
