ramp_datetime_utc,ramp_end_datetime_utc,time_tag_seconds,ramp_rate_hz_s,ramp_start_freq_hz,ramp_start_freq_ghz,ramp_start_ghz_int,ramp_station_id,source_file,lbl_file
1997-09-19 10:53:10,1997-09-19 10:53:44,1505818390.0,0.0,7164862985.475552,7.164862985475551,7,15,7262262a.odf,7262262a.lbl
1997-09-19 10:53:10,1997-09-19 10:53:44,1505818390.0,0.0,7164862985.475552,7.164862985475551,7,45,7262262a.odf,7262262a.lbl
1997-09-19 10:53:44,1997-09-19 11:32:39,1505818424.0,0.0,7164862985.475552,7.164862985475551,7,45,7262262a.odf,7262262a.lbl
1997-09-19 10:53:44,1997-09-19 11:32:39,1505818424.0,0.0,7164862985.475552,7.164862985475551,7,15,7262262a.odf,7262262a.lbl
1997-09-19 10:53:44,1997-09-19 11:32:39,1505818424.0,0.0,7164862985.475552,7.164862985475551,7,65,7262262a.odf,7262262a.lbl
1997-09-19 11:32:39,1997-09-19 11:32:40,1505820759.0,0.0,7164862985.475552,7.164862985475551,7,15,7262262a.odf,7262262a.lbl
1997-09-19 11:32:39,1997-09-19 11:32:40,1505820759.0,0.0,7164862985.475552,7.164862985475551,7,45,7262262a.odf,7262262a.lbl
1997-09-19 11:32:39,1997-09-19 11:32:40,1505820759.0,0.0,7164862985.475552,7.164862985475551,7,65,7262262a.odf,7262262a.lbl
1997-09-19 11:32:40,1997-09-19 11:54:57,1505820760.0,4.268928,7164862985.475552,7.164862985475551,7,45,7262262a.odf,7262262a.lbl
1997-09-19 11:32:40,1997-09-19 11:54:57,1505820760.0,4.268928,7164862985.475552,7.164862985475551,7,15,7262262a.odf,7262262a.lbl
1997-09-19 11:32:40,1997-09-19 11:54:57,1505820760.0,4.268928,7164862985.475552,7.164862985475551,7,65,7262262a.odf,7262262a.lbl
1997-09-19 11:54:57,1997-09-19 12:11:26,1505822097.0,6.17312,7164868693.032288,7.164868693032288,7,65,7262262a.odf,7262262a.lbl
1997-09-19 11:54:57,1997-09-19 12:11:26,1505822097.0,6.17312,7164868693.032288,7.164868693032288,7,15,7262262a.odf,7262262a.lbl
1997-09-19 11:54:57,1997-09-19 12:11:26,1505822097.0,6.17312,7164868693.032288,7.164868693032288,7,45,7262262a.odf,7262262a.lbl
1997-09-19 12:11:26,1997-09-19 12:25:47,1505823086.0,8.745152000000001,7164874798.247968,7.1648747982479675,7,65,7262262a.odf,7262262a.lbl
1997-09-19 12:11:26,1997-09-19 12:25:47,1505823086.0,8.745152000000001,7164874798.247968,7.1648747982479675,7,15,7262262a.odf,7262262a.lbl
1997-09-19 12:11:26,1997-09-19 12:25:47,1505823086.0,8.745152000000001,7164874798.247968,7.1648747982479675,7,45,7262262a.odf,7262262a.lbl
1997-09-19 12:25:47,1997-09-19 12:45:14,1505823947.0,11.834432,7164882327.82384,7.1648823278238405,7,15,7262262a.odf,7262262a.lbl
1997-09-19 12:25:47,1997-09-19 12:45:14,1505823947.0,11.834432,7164882327.82384,7.1648823278238405,7,45,7262262a.odf,7262262a.lbl
1997-09-19 12:25:47,1997-09-19 12:45:14,1505823947.0,11.834432,7164882327.82384,7.1648823278238405,7,65,7262262a.odf,7262262a.lbl
1997-09-19 12:45:14,1997-09-19 12:50:14,1505825114.0,5.916384,7164896138.605984,7.164896138605984,7,15,7262262a.odf,7262262a.lbl
1997-09-19 12:45:14,1997-09-19 12:50:14,1505825114.0,5.916384,7164896138.605984,7.164896138605984,7,65,7262262a.odf,7262262a.lbl
1997-09-19 12:45:14,1997-09-19 12:50:14,1505825114.0,5.916384,7164896138.605984,7.164896138605984,7,45,7262262a.odf,7262262a.lbl
